,bike_name,price,kms_driven,owner,age,power,city_code,brand_code
23820,Bajaj Avenger 220cc,50000,29134,0,7,220,2,6
23821,Hero Hunk Rear,25000,48587,0,8,150,1,5
23822,Bajaj Avenger Street,70000,8000,0,5,220,3,6
23823,Honda CB Hornet,87000,140,0,3,160,10,4
23824,Bajaj Pulsar 150cc,10000,64955,0,15,150,38,6
23825,Yamaha Fazer 150cc,25000,65000,0,12,150,1,3
23826,Hero CD Deluxe,18000,22824,0,8,100,30,5
23827,Bajaj Pulsar 150cc,14227,36000,0,15,150,41,6
23828,Bajaj Avenger 220cc,35000,60000,0,9,220,2,6
23829,Harley-Davidson Street 750,450000,3430,0,4,750,184,14
23830,Bajaj Dominar 400,139000,21300,0,4,400,7,6
23831,Bajaj Avenger Street,80000,7127,0,5,220,7,6
23832,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
23833,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
23834,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
23835,Bajaj Avenger Street,55005,6600,0,5,220,85,6
23836,Royal Enfield Classic,87000,16336,0,7,350,104,1
23837,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
23838,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
23839,KTM RC 390cc,196700,13216,0,4,390,3,9
23840,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
23841,Yamaha Fazer 25,123000,14500,0,4,250,387,3
23842,Royal Enfield Classic,95500,18000,0,8,350,1,1
23843,Hero Passion Pro,32000,12000,0,6,100,1,5
23844,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
23845,Hero Passion 100cc,15000,35000,1,19,100,388,5
23846,Hero Passion Pro,39000,22000,0,4,100,1,5
23847,TVS Apache RTR,30000,6639,0,9,180,19,0
23848,Bajaj Avenger Street,60000,20373,0,6,220,1,6
23849,Hero Super Splendor,15600,84186,0,16,125,18,5
23850,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
23851,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
23852,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
23853,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
23854,Bajaj Avenger Street,55005,6600,0,5,220,85,6
23855,Royal Enfield Classic,87000,16336,0,7,350,104,1
23856,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
23857,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
23858,KTM RC 390cc,196700,13216,0,4,390,3,9
23859,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
23860,Yamaha Fazer 25,123000,14500,0,4,250,387,3
23861,Royal Enfield Classic,95500,18000,0,8,350,1,1
23862,Hero Passion Pro,32000,12000,0,6,100,1,5
23863,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
23864,Hero Passion 100cc,15000,35000,1,19,100,388,5
23865,Hero Passion Pro,39000,22000,0,4,100,1,5
23866,TVS Apache RTR,30000,6639,0,9,180,19,0
23867,Bajaj Avenger Street,60000,20373,0,6,220,1,6
23868,Hero Super Splendor,15600,84186,0,16,125,18,5
23869,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
23870,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
23871,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
23872,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
23873,Bajaj Avenger Street,55005,6600,0,5,220,85,6
23874,Royal Enfield Classic,87000,16336,0,7,350,104,1
23875,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
23876,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
23877,KTM RC 390cc,196700,13216,0,4,390,3,9
23878,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
23879,Yamaha Fazer 25,123000,14500,0,4,250,387,3
23880,Royal Enfield Classic,95500,18000,0,8,350,1,1
23881,Hero Passion Pro,32000,12000,0,6,100,1,5
23882,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
23883,Hero Passion 100cc,15000,35000,1,19,100,388,5
23884,Hero Passion Pro,39000,22000,0,4,100,1,5
23885,TVS Apache RTR,30000,6639,0,9,180,19,0
23886,Bajaj Avenger Street,60000,20373,0,6,220,1,6
23887,Hero Super Splendor,15600,84186,0,16,125,18,5
23888,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
23889,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
23890,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
23891,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
23892,Bajaj Avenger Street,55005,6600,0,5,220,85,6
23893,Royal Enfield Classic,87000,16336,0,7,350,104,1
23894,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
23895,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
23896,KTM RC 390cc,196700,13216,0,4,390,3,9
23897,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
